spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
offset,0.0,60,maxEv,4,-169.8,14201,1
offset,0.0,60,mostBooks,4,-172.4,14201,1
box+offset,0.0,60,mostBooks,4,-172.8,14283,2
price+gbm,0.04,60,mostBooks,3,145.4,4137,2
price+gbm,0.04,60,maxEv,3,142.3,4137,2
price+compact+gbm,0.04,60,maxEv,3,116.4,2783,3
price+compact+gbm,0.04,60,mostBooks,3,113.2,2783,3
price+gbm+iso,0.02,60,mostBooks,3,101.7,6845,3
price+gbm+iso,0.02,60,maxEv,3,100.2,6845,3
price+gbm,0.02,60,mostBooks,3,98.2,7189,2
price+gbm,0.02,60,maxEv,3,95.6,7189,2
compact+gbm+offset,0.02,60,mostBooks,3,87.8,8355,3
compact+box+gbm,0.02,60,maxEv,3,68.3,8465,3
compact+box+gbm,0.02,60,mostBooks,3,67.7,8464,3
price+compact+box,0.02,60,maxEv,3,65.6,4456,3
box+gbm+iso,0.02,60,maxEv,3,61.7,9117,3
price+compact+offset,0.02,60,maxEv,3,61.1,4402,3
box+gbm+iso,0.02,60,mostBooks,3,58.7,9117,3
compact+iso,0.02,60,maxEv,3,57.2,7158,2
gbm+offset+iso,0.02,60,maxEv,3,51.7,8999,3
compact,0.04,60,maxEv,3,47.3,3717,1
price+offset+iso,0.04,60,maxEv,3,46.4,3743,3
gbm+offset+iso,0.02,60,mostBooks,3,45.8,8999,3
price+offset+iso,0.04,60,mostBooks,3,41.3,3743,3
compact+iso,0.02,60,mostBooks,3,40.3,7158,2
compact,0.02,60,maxEv,3,38.0,7122,1
compact,0.04,60,mostBooks,3,36.4,3716,1
price+compact+box,0.01,60,maxEv,3,36.1,6893,3
compact+offset+iso,0.04,60,maxEv,3,35.9,4825,3
compact+box,0.04,60,maxEv,3,35.6,4693,2
compact+box+iso,0.04,60,maxEv,3,34.5,4897,3
price+compact+offset,0.01,60,maxEv,3,29.9,6359,3
price+compact,0.01,60,maxEv,3,29.4,5261,2
compact+offset,0.02,60,mostBooks,3,28.7,7621,2
compact,0.02,60,mostBooks,3,26.8,7121,1
price+compact,0.01,60,mostBooks,3,21.3,5261,2
compact+offset+iso,0.04,60,mostBooks,3,21.2,4824,3
price+box+gbm,0.01,60,mostBooks,3,19.3,8773,3
compact+box+iso,0.04,60,mostBooks,3,18.7,4897,3
price+box+iso,0.02,60,maxEv,3,18.3,6300,3
box+offset+iso,0.04,60,maxEv,3,17.8,6329,3
compact+offset,0.04,60,maxEv,3,17.4,4578,2
compact+box+iso,0.01,60,maxEv,3,16.5,9570,3
price+box+gbm,0.01,60,maxEv,3,14.8,8773,3
price+box+iso,0.02,60,mostBooks,3,12.0,6300,3
gbm+offset,0.02,60,maxEv,3,9.9,10073,2
compact+box,0.02,60,mostBooks,3,8.2,7740,2
gbm+offset,0.02,60,mostBooks,3,6.3,10072,2
compact+box+iso,0.01,60,mostBooks,3,1.4,9570,3
price+offset+iso,0.02,60,mostBooks,3,0.1,6204,3
box+gbm+iso,0.01,60,maxEv,3,-4.2,10839,3
price+offset+iso,0.01,60,maxEv,3,-6.3,8041,3
box+gbm+iso,0.01,60,mostBooks,3,-7.2,10839,3
gbm+offset+iso,0.01,60,maxEv,3,-7.8,10733,3
price+offset+iso,0.01,60,mostBooks,3,-11.5,8041,3
gbm+offset+iso,0.01,60,mostBooks,3,-13.5,10733,3
price,0.0,60,maxEv,3,-14.9,5750,1
price+box+iso,0.01,60,mostBooks,3,-15.6,8141,3
compact+offset,0.01,60,maxEv,3,-23.7,9781,2
compact+box,0.01,60,maxEv,3,-25.5,9887,2
price,0.0,60,mostBooks,3,-26.2,5750,1
offset+iso,0.02,60,maxEv,3,-28.7,9275,2
price+iso,0.0,60,maxEv,3,-32.0,9303,2
