spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+box+gbm,0.01,60,maxEv,6,258.1,15397,3
compact+offset,0.01,55,mostBooks,6,258.0,21093,2
gbm,0.01,55,mostBooks,6,256.7,25314,1
price+gbm+iso,0.0,60,mostBooks,6,256.4,15821,3
compact+gbm,0.01,55,mostBooks,6,255.9,22102,2
compact+box,0.0,55,maxEv,6,255.1,24655,2
price+box+iso,0.04,0,maxEv,6,253.1,32095,3
price+gbm+offset,0.04,55,maxEv,6,252.4,11824,3
gbm+iso,0.0,60,mostBooks,6,251.7,17663,2
compact+box+gbm,0.01,60,mostBooks,6,251.4,15396,3
compact+box+iso,0.01,0,mostBooks,6,251.2,52802,3
price+box+iso,0.04,0,mostBooks,6,251.1,32095,3
price+box+gbm,0.04,55,mostBooks,6,249.9,12008,3
price+compact+offset,0.02,55,mostBooks,6,249.4,16149,3
gbm+iso,0.02,55,mostBooks,6,248.4,19789,2
price+box+iso,0.01,0,maxEv,6,248.4,52136,3
price+compact+box,0.02,55,mostBooks,6,248.1,16364,3
compact+gbm+offset,0.0,55,mostBooks,6,247.5,24326,3
price+gbm+iso,0.01,0,mostBooks,6,246.4,54117,3
price+compact+box,0.02,55,maxEv,6,244.7,16366,3
price+gbm+offset,0.01,55,maxEv,6,244.3,20444,3
compact+box,0.0,55,mostBooks,6,244.0,24654,2
compact+gbm+offset,0.01,60,maxEv,6,242.8,15285,3
price+compact+offset,0.02,55,maxEv,6,241.0,16151,3
compact+box,0.02,60,maxEv,6,240.6,12782,2
price+compact+box,0.01,60,maxEv,6,240.4,13861,3
price+compact+box,0.01,60,mostBooks,6,240.1,13860,3
price+gbm+offset,0.04,55,mostBooks,6,239.2,11823,3
compact+offset,0.02,60,maxEv,6,239.1,12579,2
price+box+gbm,0.0,55,maxEv,6,239.0,24082,3
compact+box,0.02,60,mostBooks,6,238.2,12781,2
compact+offset,0.02,60,mostBooks,6,236.7,12578,2
compact+gbm+offset,0.01,60,mostBooks,6,236.4,15284,3
price+compact+box,0.02,60,mostBooks,6,236.2,10914,3
compact+box,0.01,60,maxEv,6,235.8,15113,2
compact+box,0.01,60,mostBooks,6,235.8,15112,2
price+compact+box,0.02,60,maxEv,6,235.1,10915,3
compact+offset,0.0,60,maxEv,6,234.9,17409,2
compact+offset,0.0,60,mostBooks,6,232.6,17408,2
price+compact,0.02,60,mostBooks,6,231.0,9820,2
price+gbm+offset,0.0,55,maxEv,6,230.6,23872,3
compact+box,0.0,60,maxEv,6,230.4,17630,2
price+compact,0.02,55,maxEv,6,229.7,15901,2
price+compact,0.02,60,maxEv,6,229.3,9821,2
box+gbm,0.01,55,maxEv,6,226.6,22684,2
compact+gbm+iso,0.0,60,maxEv,6,224.7,16740,3
price+box+iso,0.02,55,maxEv,6,223.1,16934,3
price+offset+iso,0.04,0,maxEv,6,223.1,32040,3
compact+offset,0.01,60,maxEv,6,222.4,14898,2
compact+offset,0.01,60,mostBooks,6,222.2,14897,2
box+gbm,0.01,55,mostBooks,6,221.3,22682,2
