spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
box+offset+iso,0.02,55,mostBooks,8,228.2,16428,3
box+offset+iso,0.04,55,mostBooks,8,224.9,12277,3
box+offset+iso,0.04,55,maxEv,8,216.2,12278,3
gbm+offset+iso,0.02,60,maxEv,8,212.6,10794,3
box+offset+iso,0.01,55,mostBooks,8,212.3,18749,3
box+gbm+iso,0.02,60,maxEv,8,210.3,10911,3
box,0.04,55,maxEv,8,206.9,12388,1
price+offset+iso,0.02,55,mostBooks,8,205.6,13765,3
price+box+iso,0.02,55,mostBooks,8,200.2,13930,3
box,0.04,55,mostBooks,8,197.7,12386,1
price+offset+iso,0.02,55,maxEv,8,197.5,13764,3
box,0.01,55,mostBooks,8,156.4,18940,1
compact+box+offset,0.04,0,maxEv,7,1164.5,27847,3
compact+box+offset,0.04,0,mostBooks,7,1141.7,27844,3
compact+box,0.04,0,maxEv,7,1117.3,26111,2
compact+offset,0.04,0,mostBooks,7,1116.2,25958,2
price+box+offset,0.04,0,maxEv,7,1111.3,25562,3
box+gbm,0.04,0,mostBooks,7,1099.4,32893,2
price+box+offset,0.04,0,mostBooks,7,1093.9,25560,3
price+offset,0.02,0,maxEv,7,1078.0,36880,2
price+offset,0.02,0,mostBooks,7,1074.1,36878,2
compact+box,0.04,0,mostBooks,7,1066.8,26107,2
price+compact+box,0.02,0,maxEv,7,1065.3,35856,3
price+gbm+iso,0.04,0,maxEv,7,1059.8,27548,3
price+box,0.01,0,maxEv,7,1057.7,45847,2
price+compact+offset,0.02,0,mostBooks,7,1053.0,35799,3
compact+offset+iso,0.04,0,maxEv,7,1052.5,28352,3
compact+box+offset,0.02,0,maxEv,7,1049.1,39035,3
price+box,0.01,0,mostBooks,7,1039.3,45845,2
box+gbm,0.04,0,maxEv,7,1031.0,32887,2
price+compact+box,0.02,0,mostBooks,7,1030.3,35850,3
price+offset,0.01,0,mostBooks,7,1030.0,45693,2
price+box+offset,0.02,0,mostBooks,7,1028.2,38398,3
compact+box+iso,0.04,0,maxEv,7,1024.4,28366,3
price+compact+offset,0.04,0,maxEv,7,1018.7,20747,3
compact+offset+iso,0.04,0,mostBooks,7,998.0,28351,3
compact+box+offset,0.02,0,mostBooks,7,996.3,39036,3
compact+box+iso,0.04,0,mostBooks,7,989.1,28364,3
price+compact+offset,0.04,0,mostBooks,7,977.6,20743,3
price+box,0.04,0,maxEv,7,959.1,21871,2
price+box+gbm,0.04,0,mostBooks,7,957.3,26773,3
compact+gbm+iso,0.04,0,mostBooks,7,955.3,29469,3
price+compact+box,0.04,0,maxEv,7,950.5,20790,3
price+box,0.04,0,mostBooks,7,944.1,21869,2
price+gbm+iso,0.02,0,mostBooks,7,941.5,39594,3
price+offset,0.04,0,maxEv,7,934.8,21701,2
price+compact+box,0.04,0,mostBooks,7,908.7,20785,3
price+box+gbm,0.01,0,mostBooks,7,888.0,46867,3
compact,0.04,0,maxEv,7,879.7,23133,1
price+offset+iso,0.01,0,mostBooks,7,872.8,45360,3
price+offset+iso,0.02,0,mostBooks,7,831.8,38554,3
price+gbm+iso,0.01,0,mostBooks,7,825.7,46365,3
price+box+offset,0.0,0,mostBooks,7,825.6,52861,3
price+offset,0.0,0,mostBooks,7,823.8,54339,2
price+offset+iso,0.04,0,mostBooks,7,820.8,26214,3
price+compact+box,0.0,0,mostBooks,7,813.9,54160,3
price+gbm+iso,0.01,0,maxEv,7,807.1,46357,3
compact+iso,0.04,0,maxEv,7,804.8,28095,2
gbm+iso,0.04,0,mostBooks,7,800.7,34730,2
price+box+iso,0.01,0,mostBooks,7,793.4,45392,3
compact,0.02,0,maxEv,7,787.9,36376,1
price+offset+iso,0.0,0,mostBooks,7,782.3,52361,3
price+compact+gbm,0.02,0,mostBooks,7,780.0,38172,3
compact+gbm,0.02,0,mostBooks,7,765.4,40942,2
price+compact,0.04,0,maxEv,7,756.5,15875,2
price+compact+gbm,0.04,0,mostBooks,7,752.7,23977,3
gbm+iso,0.04,0,maxEv,7,745.1,34727,2
price+box+iso,0.0,0,mostBooks,7,743.5,52406,3
gbm+iso,0.02,0,mostBooks,7,730.6,44593,2
compact,0.0,0,maxEv,7,716.1,52043,1
compact,0.01,0,maxEv,7,715.2,44185,1
compact+gbm,0.02,0,maxEv,7,702.0,40938,2
gbm+iso,0.02,0,maxEv,7,687.4,44585,2
price+gbm+iso,0.0,0,mostBooks,7,670.8,53241,3
price+iso,0.04,0,mostBooks,7,658.8,24851,2
price+iso,0.01,0,maxEv,7,656.1,45119,2
gbm+iso,0.01,0,mostBooks,7,580.4,49962,2
gbm+iso,0.01,0,maxEv,7,532.0,49951,2
gbm,0.04,55,maxEv,7,467.9,15067,1
gbm,0.04,55,mostBooks,7,449.1,15065,1
compact+box+gbm,0.02,55,mostBooks,7,445.7,15006,3
gbm,0.02,55,maxEv,7,438.6,18620,1
gbm,0.0,55,maxEv,7,430.6,22838,1
compact+box+gbm,0.04,55,mostBooks,7,422.1,10403,3
gbm,0.02,55,mostBooks,7,418.9,18619,1
gbm,0.01,55,maxEv,7,417.7,20633,1
gbm,0.0,55,mostBooks,7,404.9,22838,1
price+compact+gbm,0.04,55,maxEv,7,380.0,8185,3
compact+box+gbm,0.01,55,mostBooks,7,366.4,17725,3
price+gbm+offset,0.01,55,maxEv,7,363.7,16778,3
box+gbm+offset,0.0,55,maxEv,7,360.6,21011,3
price+gbm,0.04,55,maxEv,7,360.1,9167,2
price+gbm,0.04,55,mostBooks,7,346.5,9165,2
price+box+gbm,0.01,55,maxEv,7,344.5,16994,3
price+compact+gbm,0.02,55,mostBooks,7,342.5,13290,3
price+gbm+offset,0.01,55,mostBooks,7,339.3,16775,3
gbm,0.04,60,maxEv,7,336.6,10845,1
price+box+gbm,0.0,55,maxEv,7,325.6,20174,3
compact+box+gbm,0.0,55,mostBooks,7,325.0,20603,3
compact+box+gbm,0.02,60,maxEv,7,324.5,10285,3
compact+gbm+offset,0.02,60,maxEv,7,324.0,10171,3
price+box+gbm,0.01,55,mostBooks,7,323.1,16991,3
gbm,0.04,60,mostBooks,7,318.6,10843,1
compact+offset+iso,0.0,55,maxEv,7,318.1,20244,3
gbm+iso,0.04,60,maxEv,7,315.6,8692,2
compact+offset,0.02,55,maxEv,7,315.3,14180,2
price+gbm+offset,0.0,55,maxEv,7,314.6,20011,3
gbm,0.02,60,maxEv,7,313.7,13589,1
price+box+gbm,0.0,55,mostBooks,7,303.5,20172,3
compact+offset+iso,0.0,55,mostBooks,7,303.1,20244,3
compact+box,0.01,55,maxEv,7,300.0,17540,2
compact+offset+iso,0.04,55,maxEv,7,299.4,10442,3
compact+box+gbm,0.02,60,mostBooks,7,296.0,10283,3
price+compact+gbm,0.01,55,mostBooks,7,294.8,16711,3
compact+box+iso,0.04,55,maxEv,7,292.8,10578,3
compact+offset+iso,0.04,55,mostBooks,7,291.6,10441,3
price+gbm+offset,0.0,55,mostBooks,7,291.0,20009,3
compact+box,0.02,55,maxEv,7,290.5,14506,2
compact+box+iso,0.04,55,mostBooks,7,289.2,10577,3
price+gbm,0.01,55,mostBooks,7,287.9,16872,2
compact+box+iso,0.0,55,maxEv,7,287.4,20413,3
compact+offset+iso,0.02,55,maxEv,7,286.2,14885,3
compact+offset,0.01,55,mostBooks,7,284.4,17205,2
compact+box+gbm,0.0,60,maxEv,7,282.8,14588,3
compact+box+offset,0.0,55,maxEv,7,281.4,20650,3
compact+box+iso,0.0,55,mostBooks,7,280.1,20411,3
price+compact+iso,0.02,55,maxEv,7,278.9,12535,3
gbm,0.0,60,mostBooks,7,276.3,16781,1
price+compact+iso,0.02,55,mostBooks,7,273.9,12534,3
compact+gbm+offset,0.0,60,maxEv,7,273.5,14465,3
compact+box+offset,0.0,55,mostBooks,7,272.7,20647,3
compact+box,0.01,55,mostBooks,7,271.2,17538,2
compact+gbm+iso,0.01,60,maxEv,7,269.1,11760,3
compact+box,0.02,55,mostBooks,7,267.6,14504,2
compact+box+iso,0.02,55,maxEv,7,264.1,15008,3
price+compact+offset,0.02,55,maxEv,7,263.5,12451,3
price+compact+box,0.02,55,maxEv,7,260.5,12655,3
compact+box+iso,0.02,55,mostBooks,7,259.3,15008,3
price+compact+box,0.01,55,maxEv,7,257.3,16491,3
price+compact+offset,0.02,55,mostBooks,7,254.5,12450,3
compact+box+gbm,0.0,60,mostBooks,7,253.5,14587,3
compact+gbm+iso,0.01,60,mostBooks,7,252.6,11760,3
gbm,0.01,60,mostBooks,7,251.6,15115,1
compact+gbm+offset,0.0,60,mostBooks,7,250.9,14464,3
price+compact+box,0.02,55,mostBooks,7,248.5,12653,3
box+gbm+iso,0.04,60,maxEv,7,245.1,7956,3
box+iso,0.04,55,maxEv,7,243.3,12820,2
box+gbm,0.0,60,maxEv,7,241.0,15066,2
price+compact+box,0.01,55,mostBooks,7,240.4,16489,3
price+compact+offset,0.01,55,mostBooks,7,237.9,16287,3
offset+iso,0.04,55,maxEv,7,236.6,12602,2
price+offset+iso,0.04,55,mostBooks,7,235.0,9099,3
gbm+offset+iso,0.04,60,maxEv,7,234.8,7834,3
box+iso,0.01,55,maxEv,7,230.1,19191,2
box+gbm+iso,0.04,60,mostBooks,7,230.0,7955,3
price+compact+iso,0.0,55,maxEv,7,228.3,19321,3
box+gbm,0.0,60,mostBooks,7,226.6,15064,2
box+iso,0.0,55,maxEv,7,226.1,21641,2
gbm+offset,0.0,60,maxEv,7,226.0,14914,2
gbm+offset+iso,0.04,60,mostBooks,7,225.4,7834,3
price+compact+iso,0.0,55,mostBooks,7,224.8,19321,3
price+offset+iso,0.04,55,maxEv,7,224.8,9098,3
price+box,0.01,55,maxEv,7,224.6,16526,2
price+box+iso,0.04,55,mostBooks,7,221.0,9269,3
