bucket,n,predEdgePct,realEdgePct,gapPct,market,spec
3-5%,840,3.9108952606882923,-13.179341918526907,17.0902371792152,batter_home_runs,gbm
5-7%,490,5.9943540459883735,8.847887338201799,-2.8535332922134256,batter_home_runs,gbm
7-10%,564,8.356235875945979,3.020166220004958,5.336069655941021,batter_home_runs,gbm
10%+,1291,20.932816555937215,-13.013356017216013,33.94617257315323,batter_home_runs,gbm
<0%,18894,-1.5218454673872208,-2.7557993301134074,1.2339538627261866,batter_home_runs,price
0-1%,1247,0.40313658956223986,-3.2368566054207784,3.639993194983018,batter_home_runs,price
1-2%,376,1.432662285374835,-2.7047137014104483,4.137375986785283,batter_home_runs,price
2-3%,122,2.38468027724856,-6.1086401015898,8.49332037883836,batter_home_runs,price
3-5%,80,3.867779838860331,1.7870283347257154,2.0807515041346156,batter_home_runs,price
5-7%,35,5.894003356315846,-0.21477162293493915,6.108774979250785,batter_home_runs,price
7-10%,35,8.560323617385931,41.428571428571345,-32.86824781118541,batter_home_runs,price
10%+,49,18.615168967346303,-2.6530612244898335,21.268230191836135,batter_home_runs,price
<0%,16809,-2.030245182833576,-2.7284923024839873,0.6982471196504112,batter_home_runs,price+gbm+iso
0-1%,1467,0.4286720152251321,-1.5109528551281555,1.9396248703532875,batter_home_runs,price+gbm+iso
1-2%,702,1.4524041804411936,-7.164163085873339,8.616567266314533,batter_home_runs,price+gbm+iso
2-3%,416,2.469119260058106,23.266695881055583,-20.797576620997475,batter_home_runs,price+gbm+iso
3-5%,508,3.889637489427077,-7.003787782698014,10.893425272125091,batter_home_runs,price+gbm+iso
5-7%,264,5.880346835570579,-29.748598492215557,35.628945327786134,batter_home_runs,price+gbm+iso
7-10%,246,8.328756400732642,-13.697049473375047,22.02580587410769,batter_home_runs,price+gbm+iso
10%+,426,17.948402983255868,13.005990486160748,4.94241249709512,batter_home_runs,price+gbm+iso
<0%,2156,-3.1685687104476443,-1.4449233957273628,-1.7236453147202815,pitcher_strikeouts,gbm
0-1%,333,0.4918660504951543,-0.16374190431770574,0.65560795481286,pitcher_strikeouts,gbm
1-2%,381,1.496539658261141,-6.195628338970732,7.692167997231873,pitcher_strikeouts,gbm
2-3%,324,2.4932961410634444,-6.626527311011018,9.119823452074463,pitcher_strikeouts,gbm
3-5%,597,4.003314360358196,-1.3176497718231495,5.320964132181346,pitcher_strikeouts,gbm
5-7%,490,5.96286206025346,-2.3179926815325653,8.280854741786026,pitcher_strikeouts,gbm
7-10%,604,8.458693427999455,2.0828977119736187,6.375795716025836,pitcher_strikeouts,gbm
10%+,2391,23.593847782458976,-3.822529370237521,27.416377152696498,pitcher_strikeouts,gbm
<0%,6703,-4.178349423685926,-6.751824805482704,2.5734753817967775,pitcher_strikeouts,price
0-1%,295,0.44449648291441735,-9.229899530438178,9.674396013352595,pitcher_strikeouts,price
1-2%,138,1.4276953144102766,7.146177046053778,-5.718481731643502,pitcher_strikeouts,price
2-3%,70,2.4597405826923286,19.666412219891434,-17.206671637199104,pitcher_strikeouts,price
3-5%,52,3.7335733147357337,-7.11622073578593,10.849794050521664,pitcher_strikeouts,price
5-7%,14,5.872368928961098,-13.071428571428573,18.94379750038967,pitcher_strikeouts,price
7-10%,3,8.740391681093778,-21.666666666666657,30.407058347760433,pitcher_strikeouts,price
10%+,1,12.171168157920874,-100.0,112.17116815792087,pitcher_strikeouts,price
<0%,3534,-3.323679293779224,-4.878354927255536,1.5546756334763123,pitcher_strikeouts,price+gbm+iso
0-1%,459,0.5014213888486604,4.417126241023586,-3.915704852174925,pitcher_strikeouts,price+gbm+iso
1-2%,385,1.4990345638850753,-5.824675086818291,7.323709650703367,pitcher_strikeouts,price+gbm+iso
2-3%,365,2.4997780365340505,-13.389445063828786,15.889223100362837,pitcher_strikeouts,price+gbm+iso
3-5%,606,3.9759240862118386,-2.776334511267984,6.752258597479822,pitcher_strikeouts,price+gbm+iso
5-7%,490,6.001793765635631,-2.5377634481120266,8.539557213747656,pitcher_strikeouts,price+gbm+iso
7-10%,489,8.403772704613248,-0.44833234610492395,8.85210505071817,pitcher_strikeouts,price+gbm+iso
10%+,948,16.99315661475621,2.022061328992274,14.971095285763935,pitcher_strikeouts,price+gbm+iso
<0%,110,-1.0160235154564932,10.040110509064732,-11.056134024521224,h2h,gbm
0-1%,62,0.4569290529978379,0.7404809742656471,-0.28355192126780915,h2h,gbm
1-2%,71,1.495883726496459,-15.035724867093938,16.5316085935904,h2h,gbm
