arm,innerCut,market,spec,nMembers,tau,collapse,side,aN,aUnits,aPass,bN,bRoi,bUnits
on,0.5,batter_hits,price+offset,2,0.02,maxEv,both,127,-3.14,0,50,5.041,2.52
on,0.6,batter_hits,price+offset,2,0.02,maxEv,both,133,-1.08,0,44,1.036,0.46
on,0.7,batter_hits,price+offset,2,0.02,maxEv,both,137,-3.31,0,40,6.716,2.69
on,0.5,batter_hits,price+offset,2,0.04,maxEv,both,76,-7.34,0,47,8.151,3.83
on,0.6,batter_hits,price+offset,2,0.04,maxEv,both,82,-5.28,0,41,4.307,1.77
on,0.7,batter_hits,price+offset,2,0.04,maxEv,both,85,-6.51,0,38,7.886,3.0
on,0.5,batter_hits,price+offset,2,0.0,mostBooks,both,210,4.67,0,75,1.897,1.42
on,0.6,batter_hits,price+offset,2,0.0,mostBooks,both,228,2.55,0,57,6.225,3.55
on,0.7,batter_hits,price+offset,2,0.0,mostBooks,both,241,0.86,0,44,11.904,5.24
on,0.5,batter_hits,price+offset,2,0.01,mostBooks,both,180,2.35,0,61,7.117,4.34
on,0.6,batter_hits,price+offset,2,0.01,mostBooks,both,193,3.69,0,48,6.265,3.01
on,0.7,batter_hits,price+offset,2,0.01,mostBooks,both,197,1.45,0,44,11.904,5.24
on,0.5,batter_hits,price+offset,2,0.02,mostBooks,both,127,-3.14,0,50,5.041,2.52
on,0.6,batter_hits,price+offset,2,0.02,mostBooks,both,133,-1.08,0,44,1.036,0.46
on,0.7,batter_hits,price+offset,2,0.02,mostBooks,both,137,-3.31,0,40,6.716,2.69
on,0.5,batter_hits,price+offset,2,0.04,mostBooks,both,76,-7.34,0,47,8.151,3.83
on,0.6,batter_hits,price+offset,2,0.04,mostBooks,both,82,-5.28,0,41,4.307,1.77
on,0.7,batter_hits,price+offset,2,0.04,mostBooks,both,85,-6.51,0,38,7.886,3.0
off,0.5,batter_hits,price+iso,2,0.0,maxEv,both,247,7.24,0,239,12.493,29.86
off,0.6,batter_hits,price+iso,2,0.0,maxEv,both,278,8.48,0,208,13.76,28.62
off,0.7,batter_hits,price+iso,2,0.0,maxEv,both,305,12.61,0,181,13.53,24.49
off,0.5,batter_hits,price+iso,2,0.01,maxEv,both,203,8.14,0,217,11.489,24.93
off,0.6,batter_hits,price+iso,2,0.01,maxEv,both,229,7.77,0,191,13.246,25.3
off,0.7,batter_hits,price+iso,2,0.01,maxEv,both,254,11.41,0,166,13.047,21.66
off,0.5,batter_hits,price+iso,2,0.02,maxEv,both,165,-1.43,0,204,12.533,25.57
off,0.6,batter_hits,price+iso,2,0.02,maxEv,both,185,-0.43,0,184,13.352,24.57
off,0.7,batter_hits,price+iso,2,0.02,maxEv,both,209,2.67,0,160,13.416,21.47
off,0.5,batter_hits,price+iso,2,0.04,maxEv,both,105,2.06,0,151,11.869,17.92
off,0.6,batter_hits,price+iso,2,0.04,maxEv,both,118,2.7,0,138,12.525,17.28
off,0.7,batter_hits,price+iso,2,0.04,maxEv,both,131,2.22,0,125,14.208,17.76
off,0.5,batter_hits,price+iso,2,0.0,mostBooks,both,247,10.3,0,239,11.966,28.6
off,0.6,batter_hits,price+iso,2,0.0,mostBooks,both,278,10.31,0,208,13.746,28.59
off,0.7,batter_hits,price+iso,2,0.0,mostBooks,both,305,14.44,0,181,13.515,24.46
off,0.5,batter_hits,price+iso,2,0.01,mostBooks,both,203,10.61,0,217,10.908,23.67
off,0.6,batter_hits,price+iso,2,0.01,mostBooks,both,229,9.01,0,191,13.232,25.27
off,0.7,batter_hits,price+iso,2,0.01,mostBooks,both,254,12.65,0,166,13.031,21.63
off,0.5,batter_hits,price+iso,2,0.02,mostBooks,both,165,0.6,0,204,11.915,24.31
off,0.6,batter_hits,price+iso,2,0.02,mostBooks,both,185,0.37,0,184,13.337,24.54
off,0.7,batter_hits,price+iso,2,0.02,mostBooks,both,209,3.47,0,160,13.399,21.44
off,0.5,batter_hits,price+iso,2,0.04,mostBooks,both,105,1.97,0,151,11.85,17.89
off,0.6,batter_hits,price+iso,2,0.04,mostBooks,both,118,2.61,0,138,12.505,17.26
off,0.7,batter_hits,price+iso,2,0.04,mostBooks,both,131,2.13,0,125,14.186,17.73
on,0.5,batter_hits,price+iso,2,0.0,maxEv,both,224,6.88,0,207,10.918,22.6
on,0.6,batter_hits,price+iso,2,0.0,maxEv,both,250,6.51,0,181,12.69,22.97
on,0.7,batter_hits,price+iso,2,0.0,maxEv,both,275,10.15,0,156,12.389,19.33
on,0.5,batter_hits,price+iso,2,0.01,maxEv,both,208,4.99,0,207,10.918,22.6
on,0.6,batter_hits,price+iso,2,0.01,maxEv,both,234,4.62,0,181,12.69,22.97
on,0.7,batter_hits,price+iso,2,0.01,maxEv,both,259,8.26,0,156,12.389,19.33
on,0.5,batter_hits,price+iso,2,0.02,maxEv,both,156,4.95,0,161,12.346,19.88
on,0.6,batter_hits,price+iso,2,0.02,maxEv,both,166,5.26,0,151,12.96,19.57
on,0.7,batter_hits,price+iso,2,0.02,maxEv,both,179,4.78,0,138,14.525,20.04
on,0.5,batter_hits,price+iso,2,0.04,maxEv,both,107,5.0,0,95,13.542,12.86
on,0.6,batter_hits,price+iso,2,0.04,maxEv,both,113,5.83,0,89,13.526,12.04
on,0.7,batter_hits,price+iso,2,0.04,maxEv,both,117,4.29,0,85,15.974,13.58
on,0.5,batter_hits,price+iso,2,0.0,mostBooks,both,224,9.77,0,207,10.309,21.34
on,0.6,batter_hits,price+iso,2,0.0,mostBooks,both,250,8.17,0,181,12.675,22.94
on,0.7,batter_hits,price+iso,2,0.0,mostBooks,both,275,11.81,0,156,12.372,19.3
on,0.5,batter_hits,price+iso,2,0.01,mostBooks,both,208,7.29,0,207,10.309,21.34
on,0.6,batter_hits,price+iso,2,0.01,mostBooks,both,234,5.69,0,181,12.675,22.94
on,0.7,batter_hits,price+iso,2,0.01,mostBooks,both,259,9.33,0,156,12.372,19.3
on,0.5,batter_hits,price+iso,2,0.02,mostBooks,both,156,7.25,0,161,12.329,19.85
on,0.6,batter_hits,price+iso,2,0.02,mostBooks,both,166,7.56,0,151,12.941,19.54
on,0.7,batter_hits,price+iso,2,0.02,mostBooks,both,179,7.08,0,138,14.505,20.02
on,0.5,batter_hits,price+iso,2,0.04,mostBooks,both,107,5.16,0,95,13.513,12.84
on,0.6,batter_hits,price+iso,2,0.04,mostBooks,both,113,5.99,0,89,13.496,12.01
on,0.7,batter_hits,price+iso,2,0.04,mostBooks,both,117,4.45,0,85,15.942,13.55
off,0.5,batter_hits,compact+box,2,0.0,maxEv,both,252,-2.94,0,250,8.91,22.27
off,0.6,batter_hits,compact+box,2,0.0,maxEv,both,288,-6.19,0,214,11.925,25.52
off,0.7,batter_hits,compact+box,2,0.0,maxEv,both,327,2.93,0,175,9.377,16.41
