market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
pitcher_outs,price-only (full OOS),173,59.54,-1.32,-13.69,-13.18,-2.3,169,FAIL,graded n=173 < 500 and ROI CI lower bound -13.69% <= 0%
pitcher_outs,board (full OOS),801,60.55,2.95,-2.76,-2.91,23.6,740,PASS,graded n=801 >= 500 and ROI 2.95% > 0%
pitcher_outs,all-lines (full OOS),822,60.58,3.16,-2.63,-2.72,26.0,740,PASS,graded n=822 >= 500 and ROI 3.16% > 0%
pitcher_outs,board SELECT half,412,64.56,9.0,1.3,1.18,37.1,383,PASS,graded n=412 < 500 but ROI CI lower bound 1.30% > 0%
pitcher_outs,board VERDICT half,389,56.3,-3.46,-11.99,-11.75,-13.4,357,FAIL,graded n=389 < 500 and ROI CI lower bound -11.99% <= 0%
batter_strikeouts,"base (every candidate, flat)",27835,49.73,-12.13,-13.21,-13.37,-3375.0,1439,FAIL,graded n=27835 >= 500 but ROI -12.13% <= 0%
batter_strikeouts,price-only (full OOS),354,60.73,-0.39,-9.03,-8.96,-1.4,221,FAIL,graded n=354 < 500 and ROI CI lower bound -9.03% <= 0%
batter_strikeouts,board (full OOS),1180,64.32,6.0,1.3,1.41,70.8,642,PASS,graded n=1180 >= 500 and ROI 6.00% > 0%
batter_strikeouts,all-lines (full OOS),1209,64.52,6.28,1.75,1.94,75.9,642,PASS,graded n=1209 >= 500 and ROI 6.28% > 0%
batter_strikeouts,board SELECT half,743,66.35,9.09,3.45,3.44,67.5,376,PASS,graded n=743 >= 500 and ROI 9.09% > 0%
batter_strikeouts,board VERDICT half,437,60.87,0.75,-6.95,-6.93,3.3,266,FAIL,graded n=437 < 500 and ROI CI lower bound -6.95% <= 0%
