arm,innerCut,market,spec,tau,collapse,side,bothN,aN,keepFrac,bN,bRoi,bUnits,bGatePass
A:unguarded,0.6,batter_runs_scored,gbm,0.02,mostBooks,,2989,2989,1.0,1417,-4.35,-61.63,0
B:guard0.25,0.6,batter_runs_scored,gbm,0.02,mostBooks,,2989,2989,1.0,1417,-4.35,-61.63,0
B:guard0.40,0.6,batter_runs_scored,gbm,0.02,mostBooks,,2989,2989,1.0,1417,-4.35,-61.63,0
B:guard0.50,0.6,batter_runs_scored,gbm,0.02,mostBooks,,2989,2989,1.0,1417,-4.35,-61.63,0
A:unguarded,0.7,batter_runs_scored,gbm,0.02,mostBooks,,3386,3386,1.0,1020,-2.939,-29.97,0
B:guard0.25,0.7,batter_runs_scored,gbm,0.02,mostBooks,,3386,3386,1.0,1020,-2.939,-29.97,0
B:guard0.40,0.7,batter_runs_scored,gbm,0.02,mostBooks,,3386,3386,1.0,1020,-2.939,-29.97,0
B:guard0.50,0.7,batter_runs_scored,gbm,0.02,mostBooks,,3386,3386,1.0,1020,-2.939,-29.97,0
A:unguarded,0.5,pitcher_outs,gbm,0.02,maxEv,over,601,256,0.426,239,-1.461,-3.49,0
B:guard0.25,0.5,pitcher_outs,gbm,0.02,maxEv,over,601,256,0.426,239,-1.461,-3.49,0
B:guard0.40,0.5,pitcher_outs,gbm,0.02,maxEv,over,601,256,0.426,239,-1.461,-3.49,0
B:guard0.50,0.5,pitcher_outs,gbm,0.02,maxEv,,601,601,1.0,485,2.718,13.18,0
A:unguarded,0.6,pitcher_outs,gbm,0.02,mostBooks,over,708,303,0.428,192,-2.788,-5.35,0
B:guard0.25,0.6,pitcher_outs,gbm,0.02,mostBooks,over,708,303,0.428,192,-2.788,-5.35,0
B:guard0.40,0.6,pitcher_outs,gbm,0.02,mostBooks,over,708,303,0.428,192,-2.788,-5.35,0
B:guard0.50,0.6,pitcher_outs,gbm,0.02,mostBooks,,708,708,1.0,378,2.916,11.02,0
A:unguarded,0.7,pitcher_outs,gbm,0.02,mostBooks,over,799,336,0.421,159,-2.328,-3.7,0
B:guard0.25,0.7,pitcher_outs,gbm,0.02,mostBooks,over,799,336,0.421,159,-2.328,-3.7,0
B:guard0.40,0.7,pitcher_outs,gbm,0.02,mostBooks,over,799,336,0.421,159,-2.328,-3.7,0
B:guard0.50,0.7,pitcher_outs,gbm,0.02,mostBooks,,799,799,1.0,287,1.468,4.21,0
A:unguarded,0.5,batter_strikeouts,gbm,0.02,maxEv,under,573,526,0.918,399,9.373,37.4,1
B:guard0.25,0.5,batter_strikeouts,gbm,0.02,maxEv,under,573,526,0.918,399,9.373,37.4,1
B:guard0.40,0.5,batter_strikeouts,gbm,0.02,maxEv,under,573,526,0.918,399,9.373,37.4,1
B:guard0.50,0.5,batter_strikeouts,gbm,0.02,maxEv,under,573,526,0.918,399,9.373,37.4,1
A:unguarded,0.6,batter_strikeouts,gbm,0.02,mostBooks,under,660,612,0.927,313,14.084,44.08,1
B:guard0.25,0.6,batter_strikeouts,gbm,0.02,mostBooks,under,660,612,0.927,313,14.084,44.08,1
B:guard0.40,0.6,batter_strikeouts,gbm,0.02,mostBooks,under,660,612,0.927,313,14.084,44.08,1
B:guard0.50,0.6,batter_strikeouts,gbm,0.02,mostBooks,under,660,612,0.927,313,14.084,44.08,1
A:unguarded,0.7,batter_strikeouts,gbm,0.02,mostBooks,under,743,695,0.935,230,16.767,38.56,1
B:guard0.25,0.7,batter_strikeouts,gbm,0.02,mostBooks,under,743,695,0.935,230,16.767,38.56,1
B:guard0.40,0.7,batter_strikeouts,gbm,0.02,mostBooks,under,743,695,0.935,230,16.767,38.56,1
B:guard0.50,0.7,batter_strikeouts,gbm,0.02,mostBooks,under,743,695,0.935,230,16.767,38.56,1
