spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
price+box,0.01,60,maxEv,5,200.2,10556,2
compact+box+iso,0.04,60,maxEv,5,199.7,6529,3
compact+box+iso,0.04,60,mostBooks,5,199.3,6528,3
box+gbm,0.02,60,mostBooks,5,198.6,11282,2
price+box,0.0,60,maxEv,5,196.8,13622,2
price+box,0.01,60,mostBooks,5,196.8,10554,2
compact,0.04,60,mostBooks,5,196.3,5598,1
compact+iso,0.04,60,maxEv,5,189.3,6194,2
price+compact+box,0.0,60,mostBooks,5,187.8,13743,3
compact+offset,0.02,60,maxEv,5,187.4,9451,2
gbm+offset,0.02,60,mostBooks,5,186.4,11112,2
price+iso,0.0,60,maxEv,5,185.6,12790,2
price+offset,0.0,60,maxEv,5,185.5,13415,2
compact+iso,0.01,60,maxEv,5,182.2,11355,2
compact+iso,0.04,60,mostBooks,5,181.3,6193,2
compact+box+offset,0.0,60,mostBooks,5,180.6,14072,3
price+compact+offset,0.0,60,mostBooks,5,177.6,13625,3
box+gbm+offset,0.02,60,mostBooks,5,177.3,10773,3
compact+box+offset,0.0,60,maxEv,5,176.6,14073,3
compact+offset+iso,0.04,60,maxEv,5,175.8,6420,3
compact+iso,0.01,60,mostBooks,5,175.2,11354,2
compact+offset+iso,0.04,60,mostBooks,5,174.6,6420,3
price+iso,0.0,60,mostBooks,5,174.5,12789,2
compact+offset,0.01,60,maxEv,5,173.6,11554,2
price+compact+offset,0.02,60,maxEv,5,171.4,7621,3
compact+box+iso,0.02,60,mostBooks,5,170.1,9576,3
compact+box,0.01,60,maxEv,5,169.7,11705,2
price+offset,0.01,60,maxEv,5,169.2,10095,2
compact+box,0.02,60,maxEv,5,166.7,9607,2
compact+offset,0.01,60,mostBooks,5,166.5,11553,2
price+compact+offset,0.02,60,mostBooks,5,165.7,7620,3
price+offset,0.01,60,mostBooks,5,164.3,10093,2
price+box+offset,0.04,60,maxEv,5,164.2,5037,3
price+compact+box,0.01,60,maxEv,5,163.3,10651,3
price+compact+box,0.01,60,mostBooks,5,162.8,10650,3
compact+box,0.02,60,mostBooks,5,161.4,9606,2
price+box+offset,0.04,60,mostBooks,5,160.2,5035,3
price+box+offset,0.0,60,maxEv,5,154.9,13587,3
price+box+offset,0.0,60,mostBooks,5,150.4,13585,3
compact+box+offset,0.01,60,mostBooks,5,149.8,11859,3
price+compact+box,0.02,60,maxEv,5,148.8,7743,3
compact+box+offset,0.01,60,maxEv,5,145.3,11860,3
price+compact+box,0.02,60,mostBooks,5,144.7,7742,3
price+compact+iso,0.04,60,maxEv,5,144.7,4037,3
price+box,0.02,60,maxEv,5,141.3,7661,2
box+offset,0.02,60,maxEv,5,137.4,10913,2
price+compact+iso,0.04,60,mostBooks,5,136.1,4036,3
price+box,0.02,60,mostBooks,5,135.6,7659,2
price+offset,0.02,60,maxEv,5,134.8,7488,2
price+compact+offset,0.01,60,mostBooks,5,134.5,10205,3
offset,0.02,60,maxEv,5,132.7,10761,1
price+offset,0.02,60,mostBooks,5,129.1,7486,2
price+box+iso,0.04,60,maxEv,5,126.1,5267,3
price+box+iso,0.04,60,mostBooks,5,125.5,5266,3
price+iso,0.04,60,maxEv,5,114.1,4525,2
iso,0.0,60,maxEv,5,109.7,15701,1
box,0.02,60,maxEv,5,109.6,11031,1
box,0.02,60,mostBooks,5,106.4,11030,1
price+iso,0.04,60,mostBooks,5,105.7,4524,2
price+compact,0.01,60,maxEv,5,101.9,10412,2
box+offset,0.04,60,maxEv,5,99.1,7861,2
box+offset,0.04,60,mostBooks,5,97.0,7861,2
box,0.04,60,maxEv,5,91.8,7989,1
box,0.04,60,mostBooks,5,91.1,7988,1
price+compact,0.01,60,mostBooks,5,90.8,10411,2
price+compact,0.0,60,maxEv,5,58.5,14482,2
price+compact,0.0,60,mostBooks,5,42.6,14481,2
price+gbm+iso,0.02,60,maxEv,4,227.6,9149,3
price+gbm+iso,0.02,60,mostBooks,4,222.2,9148,3
price+compact+offset,0.04,60,maxEv,4,205.5,3877,3
price+compact+box,0.04,60,maxEv,4,203.4,3951,3
price+compact+offset,0.04,60,mostBooks,4,197.4,3876,3
price+compact+box,0.04,60,mostBooks,4,197.0,3950,3
compact,0.02,60,maxEv,4,195.0,9578,1
price+gbm,0.01,60,mostBooks,4,191.8,11770,2
price+gbm,0.01,60,maxEv,4,191.3,11770,2
compact+offset,0.0,60,maxEv,4,190.3,13890,2
price+box,0.0,60,mostBooks,4,188.3,13620,2
price+compact+box,0.0,60,maxEv,4,187.3,13744,3
compact,0.02,60,mostBooks,4,184.9,9577,1
compact+offset,0.0,60,mostBooks,4,181.0,13889,2
price+compact+offset,0.0,60,maxEv,4,178.8,13626,3
price+offset,0.0,60,mostBooks,4,175.5,13413,2
compact+box+iso,0.02,60,maxEv,4,170.9,9577,3
price+gbm,0.02,60,mostBooks,4,168.7,9407,2
price+gbm,0.02,60,maxEv,4,166.8,9407,2
compact+iso,0.02,60,maxEv,4,166.1,9482,2
price+compact+gbm,0.01,60,maxEv,4,165.3,11342,3
compact+iso,0.02,60,mostBooks,4,158.3,9481,2
price+offset+iso,0.01,60,maxEv,4,158.0,10779,3
price+compact+gbm,0.01,60,mostBooks,4,157.2,11341,3
price+offset+iso,0.01,60,mostBooks,4,156.8,10778,3
price+compact+gbm,0.0,60,maxEv,4,153.2,14078,3
price+box,0.04,60,maxEv,4,150.8,3836,2
compact+offset+iso,0.02,60,maxEv,4,149.8,9474,3
compact+offset+iso,0.02,60,mostBooks,4,149.8,9474,3
price+box,0.04,60,mostBooks,4,145.2,3834,2
compact,0.01,60,maxEv,4,142.5,12044,1
price+offset,0.04,60,maxEv,4,141.9,3720,2
price+compact+gbm,0.0,60,mostBooks,4,141.2,14077,3
price+gbm,0.0,60,maxEv,4,139.8,14248,2
price+gbm,0.0,60,mostBooks,4,139.7,14248,2
price+iso,0.01,60,maxEv,4,138.6,10257,2
price+compact+offset,0.01,60,maxEv,4,138.1,10206,3
price+offset,0.04,60,mostBooks,4,136.6,3718,2
compact,0.01,60,mostBooks,4,134.7,12043,1
price+iso,0.01,60,mostBooks,4,129.4,10256,2
price+compact,0.02,60,maxEv,4,128.4,7104,2
price+compact+iso,0.02,60,maxEv,4,123.5,8056,3
price+offset+iso,0.04,60,maxEv,4,122.8,5186,3
price+offset+iso,0.04,60,mostBooks,4,122.2,5185,3
price+box+iso,0.02,60,maxEv,4,120.0,8774,3
price+compact,0.02,60,mostBooks,4,119.5,7103,2
price+box+iso,0.02,60,mostBooks,4,118.8,8773,3
price+compact+iso,0.02,60,mostBooks,4,117.8,8055,3
price+offset+iso,0.02,60,maxEv,4,110.6,8691,3
price+offset+iso,0.02,60,mostBooks,4,109.4,8690,3
price+iso,0.02,60,maxEv,4,108.3,8322,2
compact,0.0,60,maxEv,4,107.9,14610,1
price+iso,0.02,60,mostBooks,4,99.4,8321,2
compact,0.0,60,mostBooks,4,97.0,14609,1
offset,0.04,60,maxEv,4,84.3,7696,1
offset,0.04,60,mostBooks,4,83.3,7696,1
price,0.0,60,mostBooks,4,21.5,15265,1
price,0.0,60,maxEv,4,14.1,15264,1
price+compact,0.04,60,maxEv,3,123.1,3266,2
price+compact,0.04,60,mostBooks,3,110.1,3265,2
price+compact+iso,0.01,60,maxEv,3,103.6,10329,3
price+compact+iso,0.01,60,mostBooks,3,98.3,10328,3
price,0.01,60,mostBooks,3,49.5,10439,1
price,0.02,60,mostBooks,3,46.0,6549,1
price,0.01,60,maxEv,3,35.9,10438,1
price,0.02,60,maxEv,3,34.9,6548,1
price,0.04,60,mostBooks,1,13.9,2133,1
price,0.04,60,maxEv,1,7.0,2132,1
