spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
price+iso,0.02,60,maxEv,4,146.3,9227,2
price+offset,0.02,60,mostBooks,4,144.8,8797,2
price+compact,0.02,60,mostBooks,4,143.8,7676,2
price+compact,0.02,60,maxEv,4,143.5,7677,2
price+compact+offset,0.04,60,maxEv,4,139.4,4044,3
compact,0.04,60,maxEv,4,137.2,6279,1
price+iso,0.02,60,mostBooks,4,134.6,9227,2
price+compact+offset,0.04,60,mostBooks,4,132.5,4043,3
price+compact+box,0.04,60,maxEv,4,131.7,4107,3
price+box,0.04,60,maxEv,4,130.2,4129,2
compact,0.04,60,mostBooks,4,128.0,6278,1
price+compact+iso,0.01,60,mostBooks,4,124.4,12204,3
price+box,0.04,60,mostBooks,4,123.7,4128,2
price+compact+iso,0.01,60,maxEv,4,123.7,12205,3
price+iso,0.04,60,mostBooks,4,123.4,4926,2
price+compact+box,0.04,60,mostBooks,4,120.4,4106,3
compact,0.01,60,maxEv,4,116.3,14691,1
compact+iso,0.01,60,maxEv,4,111.9,13995,2
price+box,0.02,60,maxEv,4,111.6,8969,2
compact+iso,0.01,60,mostBooks,4,108.2,13994,2
compact,0.01,60,mostBooks,4,107.1,14690,1
price+offset,0.04,60,maxEv,4,104.9,3837,2
price+box,0.02,60,mostBooks,4,104.6,8968,2
iso,0.02,60,maxEv,4,103.1,14632,1
price+offset,0.04,60,mostBooks,4,101.8,3836,2
price+compact+box,0.01,60,maxEv,4,98.9,12792,3
compact+box+offset,0.04,60,maxEv,4,91.3,7749,3
price+compact+offset,0.0,60,maxEv,4,89.3,17264,3
price+compact+box,0.01,60,mostBooks,4,87.8,12791,3
offset,0.04,60,maxEv,4,86.7,9332,1
compact+box+offset,0.04,60,mostBooks,4,86.7,7748,3
compact+iso,0.0,60,maxEv,4,86.5,17205,2
compact+iso,0.0,60,mostBooks,4,85.5,17204,2
offset,0.04,60,mostBooks,4,84.4,9331,1
price+compact+offset,0.0,60,mostBooks,4,82.4,17263,3
price+box+offset,0.0,60,maxEv,4,73.5,17684,3
price+compact,0.01,60,mostBooks,4,73.0,12249,2
price+compact,0.01,60,maxEv,4,72.3,12250,2
price+iso,0.0,60,maxEv,4,62.6,16263,2
price+compact+offset,0.01,60,mostBooks,4,54.4,12724,3
price+box+offset,0.0,60,mostBooks,4,51.0,17683,3
price+box+iso,0.0,60,maxEv,4,50.2,16863,3
price+iso,0.0,60,mostBooks,4,48.5,16263,2
price+box+iso,0.0,60,mostBooks,4,43.7,16862,3
price+offset+iso,0.0,60,maxEv,4,40.3,16756,3
offset+iso,0.0,60,maxEv,4,37.1,18547,2
box+offset+iso,0.0,60,mostBooks,4,36.0,18588,3
box+offset+iso,0.0,60,maxEv,4,33.7,18589,3
compact,0.0,60,maxEv,4,32.9,18439,1
price+offset+iso,0.0,60,mostBooks,4,32.6,16755,3
compact,0.0,60,mostBooks,4,24.0,18438,1
iso,0.0,60,mostBooks,4,7.1,20124,1
box,0.0,60,maxEv,4,-4.2,19551,1
box,0.0,60,mostBooks,4,-9.3,19549,1
offset,0.0,60,mostBooks,4,-12.3,19250,1
box+offset,0.0,60,mostBooks,4,-12.7,19400,2
price+compact+iso,0.02,60,mostBooks,3,132.3,8834,3
price+iso,0.04,60,maxEv,3,128.9,4926,2
price+compact+iso,0.02,60,maxEv,3,128.9,8835,3
compact,0.02,60,maxEv,3,118.8,11306,1
price+iso,0.01,60,maxEv,3,113.4,12415,2
compact,0.02,60,mostBooks,3,112.5,11305,1
price+compact,0.04,60,maxEv,3,102.5,3092,2
price+compact,0.04,60,mostBooks,3,100.1,3091,2
price+iso,0.01,60,mostBooks,3,99.7,12415,2
price+compact+box,0.0,60,maxEv,3,63.3,17411,3
price+compact+offset,0.01,60,maxEv,3,59.3,12725,3
price+compact+box,0.0,60,mostBooks,3,50.4,17410,3
iso,0.01,60,mostBooks,3,41.4,17309,1
offset+iso,0.0,60,mostBooks,3,40.2,18546,2
price+compact,0.0,60,maxEv,3,33.5,17780,2
box+iso,0.0,60,maxEv,3,28.9,18662,2
price+compact,0.0,60,mostBooks,3,27.7,17779,2
iso,0.01,60,maxEv,3,27.5,17309,1
box+iso,0.0,60,mostBooks,3,27.3,18661,2
price+compact+iso,0.0,60,maxEv,3,25.6,16315,3
price+compact+iso,0.0,60,mostBooks,3,23.7,16314,3
price,0.01,60,mostBooks,3,-11.1,11379,1
iso,0.0,60,maxEv,3,-15.1,20123,1
price,0.02,60,mostBooks,3,-18.9,6665,1
price,0.01,60,maxEv,3,-20.0,11379,1
price,0.02,60,maxEv,3,-20.6,6665,1
price,0.0,60,mostBooks,2,-138.9,18649,1
price,0.0,60,maxEv,2,-142.4,18649,1
price,0.04,60,mostBooks,1,-7.8,1945,1
price,0.04,60,maxEv,1,-7.9,1945,1
