spec,tau,minConf,selectPasses,selectUnits,selectN,nMembers
box,0.04,60,6,90.0,7904,1
price+box,0.0,60,6,89.3,15753,2
gbm+offset,0.0,55,6,88.5,22267,2
box+offset,0.01,60,6,87.2,14135,2
compact+gbm+iso,0.02,60,6,87.1,9844,3
compact+iso,0.04,0,6,84.9,25806,2
box+offset+iso,0.04,55,6,80.9,11284,3
price+gbm+offset,0.01,55,6,79.6,17726,3
price+gbm+offset,0.02,60,6,77.8,9308,3
box+gbm,0.02,60,6,77.1,11736,2
box,0.01,60,6,75.9,14420,1
price+gbm+offset,0.01,60,6,75.2,12052,3
gbm+offset,0.02,60,6,73.1,11447,2
compact+gbm+iso,0.0,0,6,71.5,53748,3
compact+gbm,0.01,60,6,70.0,12366,2
compact+gbm+iso,0.04,60,6,69.4,6465,3
price+offset+iso,0.04,0,6,69.0,24139,3
gbm,0.0,60,6,68.1,16777,1
box+offset+iso,0.02,55,6,66.7,15998,3
compact+box+gbm,0.0,60,6,66.5,15080,3
price+gbm,0.01,60,6,64.8,11990,2
price+box+gbm,0.01,60,6,63.8,12237,3
compact+gbm+offset,0.0,55,6,63.4,21238,3
price+box+iso,0.0,55,6,61.8,20441,3
compact+gbm+offset,0.0,60,6,61.1,14892,3
price+box+iso,0.04,0,6,61.0,24173,3
price+box+gbm,0.0,60,6,60.8,15171,3
compact+box+gbm,0.0,55,6,57.9,21484,3
compact+gbm,0.0,60,6,57.0,14822,2
price+gbm,0.02,60,6,55.0,9342,2
compact+iso,0.02,0,6,52.5,38106,2
price+box+gbm,0.0,55,6,50.4,21868,3
price+gbm+offset,0.0,60,6,49.2,14974,3
box,0.0,60,6,47.2,17016,1
box+offset,0.0,60,6,45.4,16715,2
price+offset+iso,0.0,55,6,43.7,20243,3
compact+box+gbm,0.01,60,6,39.8,12520,3
price+iso,0.02,0,6,35.7,36581,2
price+gbm,0.0,60,6,31.9,14776,2
box+offset+iso,0.01,55,6,30.6,18702,3
compact+gbm+offset,0.01,60,6,29.4,12317,3
gbm,0.02,55,6,27.5,17891,1
box+iso,0.01,55,6,15.8,18637,2
price+iso,0.01,0,6,12.4,44441,2
price+gbm+iso,0.04,60,6,9.9,5843,3
box+offset+iso,0.0,55,6,-3.0,21766,3
gbm+offset,0.0,0,6,-13.4,56567,2
compact+iso,0.01,0,6,-62.1,45151,2
iso,0.04,55,6,-93.7,13027,1
iso,0.01,55,6,-111.2,19081,1
compact+iso,0.0,0,6,-133.0,52271,2
gbm,0.04,0,6,-316.9,36403,1
price+compact+box,0.02,0,5,644.6,37202,3
price+compact+offset,0.02,0,5,617.7,37091,3
price+box,0.02,0,5,604.3,38278,2
price+box+offset,0.02,0,5,587.5,39708,3
price+compact+offset,0.01,0,5,523.8,48232,3
price+box+offset,0.01,0,5,505.5,48920,3
price+compact+box,0.01,0,5,502.8,48306,3
offset,0.02,0,5,498.5,41695,1
offset,0.01,0,5,473.3,48736,1
price+compact,0.02,0,5,470.2,34354,2
